hospital_id,hospital_name,city,state,hospital_type,ownership,emergency_services,hospital_rating
154035,4C HEALTH,LOGANSPORT,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available
05015F,60th Medical Group (Travis AFB),Travis AFB,CA,Acute Care - Department of Defense,Department of Defense,Yes,Not Available
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),JBER,AK,Acute Care - Department of Defense,Department of Defense,Yes,Not Available
25039F,81st Medical Group (Keesler AFB),Biloxi,MS,Acute Care - Department of Defense,Department of Defense,Yes,Not Available
36006F,88th Medical Group (Wright-Patterson AFB),Wright-Patterson AFB,OH,Acute Care - Department of Defense,Department of Defense,Yes,Not Available
10021F,96th Medical Group (Eglin AFB),Eglin AFB,FL,Acute Care - Department of Defense,Department of Defense,Yes,Not Available
29001F,99th Medical Group (Nellis AFB),Nellis AFB,NV,Acute Care - Department of Defense,Department of Defense,Yes,Not Available
421301,ABBEVILLE AREA MEDICAL CENTER,ABBEVILLE,SC,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available
190034,ABBEVILLE GENERAL HOSPITAL,ABBEVILLE,LA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3
240057,ABBOTT NORTHWESTERN HOSPITAL,MINNEAPOLIS,MN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4
141322,ABRAHAM LINCOLN MEMORIAL HOSPITAL,LINCOLN,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4
030094,ABRAZO ARROWHEAD HOSPITAL,GLENDALE,AZ,Acute Care Hospitals,Proprietary,Yes,2
030030,ABRAZO CENTRAL CAMPUS,PHOENIX,AZ,Acute Care Hospitals,Physician,Yes,2
030083,ABRAZO SCOTTSDALE CAMPUS,PHOENIX,AZ,Acute Care Hospitals,Proprietary,Yes,3
030110,ABRAZO WEST CAMPUS,GOODYEAR,AZ,Acute Care Hospitals,Proprietary,Yes,2
191322,ABROM KAPLAN MEMORIAL HOSPITAL,KAPLAN,LA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available
190044,ACADIA GENERAL HOSPITAL,CROWLEY,LA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
191319,ACADIA ST LANDRY,CHURCH POINT,LA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available
190318,ACADIAN MEDICAL CENTER,EUNICE,LA,Acute Care Hospitals,Proprietary,Yes,3
364050,"ACCESS HOSPITAL DAYTON, LLC",DAYTON,OH,Psychiatric,Voluntary non-profit - Private,No,Not Available
390163,ACMH HOSPITAL,KITTANNING,PA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
670102,"AD HOSPITAL EAST, LLC",HOUSTON,TX,Acute Care Hospitals,Proprietary,Yes,Not Available
174022,ADAIR ACUTE CARE AT OSAWATOMIE STATE HOSPITAL,OSAWATOMIE,KS,Psychiatric,Government - State,No,Not Available
161310,ADAIR COUNTY MEMORIAL HOSPITAL,GREENFIELD,IA,Critical Access Hospitals,Government - Local,Yes,Not Available
361326,ADAMS COUNTY REGIONAL MEDICAL CENTER,SEAMAN,OH,Critical Access Hospitals,Government - Local,Yes,3
151330,ADAMS MEMORIAL HOSPITAL,DECATUR,IN,Critical Access Hospitals,Government - Local,Yes,Not Available
