payroll_id,employee_id,hospital_id,hospital_name,payroll_month,regular_hours,overtime_hours,hourly_pay_rate,regular_pay,overtime_pay,bonus,gross_pay,tax_amount,benefits_deduction,net_pay,payment_status
PAY00000001,EMP000001,224018,ARBOUR HUMAN RESOURCE INSTITUTE,2026-08,129,34,65.52,8452.08,3341.52,1546.56,13340.16,3240.26,259.16,9840.74,Processing
PAY00000002,EMP000001,224018,ARBOUR HUMAN RESOURCE INSTITUTE,2026-07,155,0,65.52,10155.6,0.0,0.0,10155.6,2455.72,325.51,7374.37,Paid
PAY00000003,EMP000001,224018,ARBOUR HUMAN RESOURCE INSTITUTE,2026-06,153,1,65.52,10024.56,98.28,0.0,10122.84,1991.24,445.11,7686.49,Paid
PAY00000004,EMP000001,224018,ARBOUR HUMAN RESOURCE INSTITUTE,2026-05,132,9,65.52,8648.64,884.52,0.0,9533.16,2124.15,155.07,7253.94,Paid
PAY00000005,EMP000001,224018,ARBOUR HUMAN RESOURCE INSTITUTE,2026-04,149,2,65.52,9762.48,196.56,0.0,9959.04,2317.68,441.41,7199.95,Paid
PAY00000006,EMP000001,224018,ARBOUR HUMAN RESOURCE INSTITUTE,2026-03,126,4,65.52,8255.52,393.12,0.0,8648.64,1587.55,265.72,6795.37,Paid
PAY00000007,EMP000002,220077,BAYSTATE MEDICAL CENTER,2026-08,136,23,146.23,19887.28,5044.93,0.0,24932.21,4202.88,427.09,20302.24,Paid
PAY00000008,EMP000002,220077,BAYSTATE MEDICAL CENTER,2026-07,123,26,146.23,17986.29,5702.97,0.0,23689.26,4372.75,251.59,19064.92,Paid
PAY00000009,EMP000002,220077,BAYSTATE MEDICAL CENTER,2026-06,140,15,146.23,20472.2,3290.17,660.86,24423.23,5728.28,225.25,18469.7,Processing
PAY00000010,EMP000002,220077,BAYSTATE MEDICAL CENTER,2026-05,158,34,146.23,23104.34,7457.73,0.0,30562.07,6972.66,431.84,23157.57,Paid
PAY00000011,EMP000002,220077,BAYSTATE MEDICAL CENTER,2026-04,142,34,146.23,20764.66,7457.73,0.0,28222.39,6934.35,196.23,21091.81,Paid
PAY00000012,EMP000002,220077,BAYSTATE MEDICAL CENTER,2026-03,176,4,146.23,25736.48,877.38,1283.98,27897.84,5447.3,136.02,22314.52,Paid
PAY00000013,EMP000003,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,2026-08,157,2,54.19,8507.83,162.57,0.0,8670.4,1584.25,275.61,6810.54,Paid
PAY00000014,EMP000003,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,2026-07,167,34,54.19,9049.73,2763.69,0.0,11813.42,2712.61,291.64,8809.17,Paid
PAY00000015,EMP000003,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,2026-06,126,21,54.19,6827.94,1706.99,0.0,8534.93,1671.57,135.44,6727.92,Paid
PAY00000016,EMP000003,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,2026-05,128,17,54.19,6936.32,1381.85,0.0,8318.17,1830.3,256.69,6231.18,On Hold
