request_id,hospital_id,hospital_name,city,state,required_role,department,employment_type,shift_preference,required_staff,filled_staff,open_positions,priority,request_status,request_date,assignment_start_date,assignment_end_date,duration_weeks,hourly_bill_rate
REQ000001,220015,"COOLEY DICKINSON HOSPITAL INC,THE",NORTHAMPTON,MA,Laboratory Technician,Laboratory,Local Contract,Morning,15,2,13,Medium,Partially Filled,2025-12-14,2025-12-29,2026-03-23,12,98.67
REQ000002,224001,TAUNTON STATE HOSPITAL,TAUNTON,MA,Physician,Medical Services,Per Diem,Day,11,8,3,Critical,Partially Filled,2026-06-10,2026-07-20,2026-08-17,4,249.4
REQ000003,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,PLYMOUTH,MA,ICU Nurse,Intensive Care Unit,Local Contract,Morning,5,4,1,Medium,Partially Filled,2026-05-11,2026-05-27,2026-08-19,12,149.4
REQ000004,223300,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,BRIGHTON,MA,Laboratory Technician,Laboratory,Permanent Placement,Morning,2,2,0,Low,Filled,2026-04-08,2026-05-01,2026-05-29,4,91.35
REQ000005,223302,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,Physician,Medical Services,Travel Contract,Day,12,6,6,Low,Partially Filled,2025-10-22,2025-11-26,2026-03-18,16,301.82
REQ000006,224022,BOURNEWOOD HOSPITAL,BROOKLINE,MA,Laboratory Technician,Laboratory,Permanent Placement,Night,9,2,7,Low,Partially Filled,2025-08-19,2025-09-18,2026-01-08,16,93.53
REQ000007,221303,ATHOL MEMORIAL HOSPITAL,ATHOL,MA,Allied Health Professional,Allied Health,Permanent Placement,Night,2,1,1,Critical,Partially Filled,2025-11-16,2025-12-08,2026-06-08,26,106.57
REQ000008,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,JAMAICA PLAIN,MA,Emergency Room Nurse,Emergency Department,Permanent Placement,Night,12,5,7,Medium,Partially Filled,2026-02-28,2026-03-08,2026-05-03,8,155.12
REQ000009,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,Respiratory Therapist,Respiratory Care,Per Diem,Morning,4,3,1,High,Partially Filled,2025-08-20,2025-09-26,2025-11-21,8,145.99
REQ000010,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,FALL RIVER,MA,Registered Nurse,General Nursing,Travel Contract,Morning,6,2,4,Medium,Partially Filled,2026-07-04,2026-07-23,2026-10-22,13,120.66
REQ000011,224043,TARAVISTA BEHAVIORAL HEALTH CENTER,DEVENS,MA,Allied Health Professional,Allied Health,Travel Contract,Day,3,2,1,High,Partially Filled,2025-08-15,2025-08-29,2025-11-21,12,114.2
REQ000012,220063,LOWELL GENERAL HOSPITAL,LOWELL,MA,Respiratory Therapist,Respiratory Care,Per Diem,Day,7,3,4,High,Partially Filled,2026-06-07,2026-07-16,2026-08-13,4,85.12
REQ000013,224043,TARAVISTA BEHAVIORAL HEALTH CENTER,DEVENS,MA,Travel Nurse,Travel Nursing,Per Diem,Day,11,5,6,High,Partially Filled,2026-02-03,2026-03-09,2026-04-06,4,136.02
REQ000014,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",BURLINGTON,MA,Respiratory Therapist,Respiratory Care,Local Contract,Night,5,4,1,Medium,Partially Filled,2026-01-15,2026-02-16,2026-08-17,26,150.83
REQ000015,220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,TAUNTON,MA,Physical Therapist,Rehabilitation,Per Diem,Morning,9,0,9,Medium,Open,2026-05-19,2026-06-14,2026-09-13,13,147.0
REQ000016,224047,VALLEY SPRINGS BEHAVIORAL HEALTH HOSPITAL,HOLYOKE,MA,Allied Health Professional,Allied Health,Permanent Placement,Night,11,3,8,High,Partially Filled,2026-03-27,2026-05-01,2026-07-31,13,109.87
REQ000017,224039,WHITTIER PAVILION,HAVERHILL,MA,Physical Therapist,Rehabilitation,Local Contract,Night,11,4,7,Medium,Partially Filled,2026-01-19,2026-01-31,2026-03-28,8,95.23
REQ000018,220126,NORWOOD HOSPITAL,NORWOOD,MA,Physical Therapist,Rehabilitation,Permanent Placement,Evening,15,6,9,Medium,Partially Filled,2025-09-07,2025-10-13,2026-01-12,13,102.33
REQ000019,220062,ADCARE HOSPITAL OF WORCESTER INC,WORCESTER,MA,ICU Nurse,Intensive Care Unit,Permanent Placement,Day,13,11,2,High,Partially Filled,2026-03-06,2026-03-27,2026-05-22,8,169.22
REQ000020,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MA,Radiologic Technologist,Radiology,Per Diem,Evening,9,8,1,High,Partially Filled,2025-10-08,2025-11-13,2026-05-14,26,132.35
REQ000021,224041,SOUTHCOAST BEHAVIORAL HEALTH,DARTMOUTH,MA,Respiratory Therapist,Respiratory Care,Permanent Placement,Morning,12,7,5,High,Partially Filled,2026-05-08,2026-06-12,2026-08-07,8,143.79
REQ000022,220095,HEYWOOD HOSPITAL -,GARDNER,MA,Laboratory Technician,Laboratory,Per Diem,Night,8,1,7,Medium,Partially Filled,2026-04-06,2026-04-28,2026-07-21,12,90.38
REQ000023,224001,TAUNTON STATE HOSPITAL,TAUNTON,MA,ICU Nurse,Intensive Care Unit,Local Contract,Day,7,2,5,Medium,Partially Filled,2025-10-10,2025-10-26,2025-12-21,8,128.16
REQ000024,220033,NORTHEAST HOSPITAL CORPORATION,BEVERLY,MA,Respiratory Therapist,Respiratory Care,Permanent Placement,Evening,7,0,7,Low,Open,2025-09-01,2025-09-21,2025-12-21,13,109.62
REQ000025,220090,MILFORD REGIONAL MEDICAL CENTER,MILFORD,MA,Respiratory Therapist,Respiratory Care,Permanent Placement,Night,15,7,8,Medium,Partially Filled,2026-05-03,2026-06-13,2026-10-03,16,118.99
REQ000026,220090,MILFORD REGIONAL MEDICAL CENTER,MILFORD,MA,Allied Health Professional,Allied Health,Local Contract,Day,3,3,0,Critical,Filled,2026-07-09,2026-08-10,2027-02-08,26,131.43
REQ000027,224018,ARBOUR HUMAN RESOURCE INSTITUTE,BROOKLINE,MA,ICU Nurse,Intensive Care Unit,Local Contract,Day,14,7,7,Medium,Partially Filled,2026-06-26,2026-07-30,2026-09-24,8,127.91
REQ000028,22009F,NORTHAMPTON VA MEDICAL CENTER,LEEDS,MA,Allied Health Professional,Allied Health,Permanent Placement,Morning,13,13,0,High,Filled,2026-01-20,2026-02-20,2026-05-15,12,122.92
REQ000029,224001,TAUNTON STATE HOSPITAL,TAUNTON,MA,Registered Nurse,General Nursing,Travel Contract,Day,2,2,0,Critical,Filled,2026-01-27,2026-02-17,2026-08-18,26,98.96
REQ000030,224013,ARBOUR HOSPITAL,BOSTON,MA,Physical Therapist,Rehabilitation,Local Contract,Evening,8,1,7,High,Partially Filled,2025-10-18,2025-11-09,2026-01-04,8,145.68
REQ000031,220110,BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MA,Physical Therapist,Rehabilitation,Travel Contract,Morning,5,0,5,High,Open,2026-06-07,2026-06-21,2026-08-16,8,155.56
REQ000032,220175,METROWEST MEDICAL CENTER,FRAMINGHAM,MA,Respiratory Therapist,Respiratory Care,Local Contract,Day,12,10,2,High,Partially Filled,2025-11-10,2025-11-21,2026-03-13,16,106.11
REQ000033,22010F,VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN,JAMAICA PLAIN,MA,ICU Nurse,Intensive Care Unit,Per Diem,Day,9,6,3,Medium,Partially Filled,2026-05-17,2026-05-26,2026-08-18,12,128.89
REQ000034,220098,NASHOBA VALLEY MEDICAL CENTER,AYER,MA,Radiologic Technologist,Radiology,Local Contract,Evening,11,7,4,Medium,Partially Filled,2025-09-24,2025-10-28,2026-01-20,12,118.52
REQ000035,224032,WORCESTER RECOVERY CENTER AND HOSPITAL,WORCESTER,MA,Physician,Medical Services,Per Diem,Morning,8,6,2,High,Partially Filled,2026-06-12,2026-07-23,2026-10-22,13,298.15
REQ000036,220046,BERKSHIRE MEDICAL CENTER,PITTSFIELD,MA,Physician,Medical Services,Permanent Placement,Morning,10,9,1,Low,Partially Filled,2026-03-19,2026-04-10,2026-07-10,13,299.57
REQ000037,220011,CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MA,Radiologic Technologist,Radiology,Per Diem,Day,6,2,4,Medium,Partially Filled,2025-11-17,2025-12-16,2026-03-10,12,95.37
REQ000038,220084,EMERSON HOSPITAL -,W CONCORD,MA,Respiratory Therapist,Respiratory Care,Permanent Placement,Evening,12,7,5,High,Partially Filled,2026-04-08,2026-05-20,2026-07-15,8,91.51
REQ000039,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,FALL RIVER,MA,Respiratory Therapist,Respiratory Care,Per Diem,Evening,11,9,2,High,Partially Filled,2026-07-21,2026-08-12,2026-11-04,12,109.06
REQ000040,223304,THE SHRINERS' HOSPITAL FOR CHILDREN - BOSTON,BOSTON,MA,Allied Health Professional,Allied Health,Local Contract,Day,5,2,3,High,Partially Filled,2026-01-28,2026-03-05,2026-05-28,12,112.09
REQ000041,224043,TARAVISTA BEHAVIORAL HEALTH CENTER,DEVENS,MA,Emergency Room Nurse,Emergency Department,Per Diem,Day,8,4,4,High,Partially Filled,2025-11-07,2025-11-27,2026-05-28,26,120.74
REQ000042,220066,MERCY MEDICAL CTR,SPRINGFIELD,MA,Emergency Room Nurse,Emergency Department,Per Diem,Day,9,2,7,Critical,Partially Filled,2026-01-02,2026-01-09,2026-07-10,26,138.74
REQ000043,223302,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,Radiologic Technologist,Radiology,Permanent Placement,Evening,5,3,2,Medium,Partially Filled,2025-09-22,2025-09-29,2026-01-19,16,149.58
REQ000044,220135,FALMOUTH HOSPITAL,FALMOUTH,MA,Radiologic Technologist,Radiology,Travel Contract,Night,8,1,7,Medium,Partially Filled,2025-09-28,2025-10-09,2026-01-08,13,121.4
REQ000045,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,WORCESTER,MA,ICU Nurse,Intensive Care Unit,Local Contract,Evening,13,6,7,Medium,Partially Filled,2025-12-06,2025-12-20,2026-04-11,16,135.99
REQ000046,220163,UMASS MEMORIAL MEDICAL CENTER/UNIVERSITY CAMPUS,WORCESTER,MA,Respiratory Therapist,Respiratory Care,Local Contract,Night,1,0,1,Medium,Open,2026-01-04,2026-02-16,2026-06-08,16,90.68
REQ000047,220084,EMERSON HOSPITAL -,W CONCORD,MA,Emergency Room Nurse,Emergency Department,Permanent Placement,Evening,1,1,0,Medium,Filled,2026-05-10,2026-05-21,2026-07-16,8,116.2
REQ000048,220080,HOLY FAMILY HOSPITAL,METHUEN,MA,Radiologic Technologist,Radiology,Local Contract,Evening,13,12,1,Medium,Partially Filled,2025-09-06,2025-09-27,2025-12-20,12,97.74
REQ000049,224022,BOURNEWOOD HOSPITAL,BROOKLINE,MA,Physician,Medical Services,Per Diem,Evening,3,2,1,Medium,Partially Filled,2025-10-12,2025-10-23,2025-11-20,4,288.21
REQ000050,220002,MOUNT AUBURN HOSPITAL,CAMBRIDGE,MA,Physician,Medical Services,Travel Contract,Evening,8,1,7,High,Partially Filled,2026-04-14,2026-05-25,2026-08-24,13,282.26
