OLD_CLAIM_ID,CLAIM_ID
2d2d4810-0860-1da9-14b6-238d791a818c,CLM00000001
2d2d4810-0860-1da9-d588-7420bdabaaf2,CLM00000002
4c78483e-093e-51df-7a3f-0ce05c630429,CLM00000003
05b921b3-fa6d-117d-7558-d682a2302809,CLM00000004
05b921b3-fa6d-117d-1fec-01f6c28824d9,CLM00000005
2d2d4810-0860-1da9-7e25-067248f90018,CLM00000006
2d2d4810-0860-1da9-6c1a-cfa46b85f18e,CLM00000007
05b921b3-fa6d-117d-4c84-d6043980159f,CLM00000008
05b921b3-fa6d-117d-612c-6a4fe7fd44b5,CLM00000009
2d2d4810-0860-1da9-3bab-110009e7b5bb,CLM00000010
05b921b3-fa6d-117d-0bde-38712f4a9db0,CLM00000011
2d2d4810-0860-1da9-5d8e-5030c7685d44,CLM00000012
05b921b3-fa6d-117d-f64e-61b6911dee9c,CLM00000013
05b921b3-fa6d-117d-20c7-6f4501b8bdad,CLM00000014
05b921b3-fa6d-117d-f03b-d0389e38d0d2,CLM00000015
05b921b3-fa6d-117d-c9b2-2dfa0cc382d0,CLM00000016
7b6dc9ab-ebc1-021b-5cae-6f74cefe9601,CLM00000017
05b921b3-fa6d-117d-5e73-0b212026f8b8,CLM00000018
7b6dc9ab-ebc1-021b-2077-babafd39e842,CLM00000019
7b6dc9ab-ebc1-021b-4c9f-20d765a91552,CLM00000020
7b6dc9ab-ebc1-021b-7d6f-0a79b9568271,CLM00000021
05b921b3-fa6d-117d-d489-2dd407f933e7,CLM00000022
7b6dc9ab-ebc1-021b-11df-8ddd0dde8dd8,CLM00000023
7b6dc9ab-ebc1-021b-b387-16345d34b8b8,CLM00000024
05b921b3-fa6d-117d-c6ad-5f42c887c85b,CLM00000025
7b6dc9ab-ebc1-021b-d329-e3665c86bf92,CLM00000026
7b6dc9ab-ebc1-021b-cc03-d7ab65a72064,CLM00000027
7b6dc9ab-ebc1-021b-f1b2-bc66251072d1,CLM00000028
05b921b3-fa6d-117d-4794-446a10e816ce,CLM00000029
7b6dc9ab-ebc1-021b-53ae-2d05b9a3c2cc,CLM00000030
7b6dc9ab-ebc1-021b-5142-1c3621307f2c,CLM00000031
05b921b3-fa6d-117d-68c6-8dd0cd6b66e1,CLM00000032
7b6dc9ab-ebc1-021b-f6d6-f03f0fb6b4ee,CLM00000033
7b6dc9ab-ebc1-021b-008d-0dde089a1836,CLM00000034
7b6dc9ab-ebc1-021b-b132-702d5fb0f6ed,CLM00000035
05b921b3-fa6d-117d-7689-3d86f3128e1c,CLM00000036
7b6dc9ab-ebc1-021b-6c4a-e1c20ece348a,CLM00000037
05b921b3-fa6d-117d-d006-71f7c41916c4,CLM00000038
7b6dc9ab-ebc1-021b-5825-2a2f34e1bb48,CLM00000039
05b921b3-fa6d-117d-f2a2-b5141656be5b,CLM00000040
7b6dc9ab-ebc1-021b-2bf8-27ac31ada117,CLM00000041
7b6dc9ab-ebc1-021b-6d63-97aaa9c0679f,CLM00000042
05b921b3-fa6d-117d-7588-e2c1f844c72e,CLM00000043
05b921b3-fa6d-117d-30d8-53bd701fb6aa,CLM00000044
05b921b3-fa6d-117d-f063-dcf8b9303296,CLM00000045
05b921b3-fa6d-117d-d1b8-f26ef58ee1d1,CLM00000046
2d2d4810-0860-1da9-a18c-be6b09e98b4e,CLM00000047
4c78483e-093e-51df-34fe-46460f7cdd73,CLM00000048
7b6dc9ab-ebc1-021b-f315-57413263ff16,CLM00000049
2d2d4810-0860-1da9-c822-795f4ae572ae,CLM00000050
7b6dc9ab-ebc1-021b-22ee-94e1cba43497,CLM00000051
05b921b3-fa6d-117d-75a7-22fd6543b52c,CLM00000052
4c78483e-093e-51df-681b-26efb84f6170,CLM00000053
7b6dc9ab-ebc1-021b-9342-5b51a9931ba7,CLM00000054
05b921b3-fa6d-117d-4405-d18c4f2ba3fb,CLM00000055
7b6dc9ab-ebc1-021b-ee93-4b68ba7d8d0f,CLM00000056
2d2d4810-0860-1da9-72ca-625116e74bb4,CLM00000057
7b6dc9ab-ebc1-021b-8a26-9add06988373,CLM00000058
7b6dc9ab-ebc1-021b-eede-bc9d4539571f,CLM00000059
4c78483e-093e-51df-8673-b0ff8946a4c1,CLM00000060
7b6dc9ab-ebc1-021b-8b1f-13c311dda425,CLM00000061
7b6dc9ab-ebc1-021b-6eb7-e63400d58abb,CLM00000062
7b6dc9ab-ebc1-021b-438f-1e4dcfebb951,CLM00000063
7b6dc9ab-ebc1-021b-dfea-20eff08c7bfe,CLM00000064
4c78483e-093e-51df-a41a-a76cb94a5003,CLM00000065
7b6dc9ab-ebc1-021b-914e-0dbd9e2a8506,CLM00000066
7b6dc9ab-ebc1-021b-0082-9f3acbe1e9eb,CLM00000067
2d2d4810-0860-1da9-fddc-459f52061387,CLM00000068
05b921b3-fa6d-117d-8dfc-cf753d5bfae2,CLM00000069
7b6dc9ab-ebc1-021b-b292-67944f89f2f4,CLM00000070
4c78483e-093e-51df-96f6-2a584b3ab31c,CLM00000071
2d2d4810-0860-1da9-e56f-4227f796e037,CLM00000072
05b921b3-fa6d-117d-2197-d8b323d58539,CLM00000073
7b6dc9ab-ebc1-021b-8003-764b62380a2d,CLM00000074
05b921b3-fa6d-117d-1d08-b9bf49acb868,CLM00000075
7b6dc9ab-ebc1-021b-bf60-78fbdceaee4a,CLM00000076
4c78483e-093e-51df-635a-137893b59e07,CLM00000077
2d2d4810-0860-1da9-1c28-8b66a637ca3b,CLM00000078
4c78483e-093e-51df-3682-2614b12306f1,CLM00000079
4c78483e-093e-51df-c870-52277721dda6,CLM00000080
