ORGANIZATION_ID,HOSPITAL_ID,HOSPITAL_NAME,CMS_CITY,CMS_STATE,HOSPITAL_TYPE,OWNERSHIP,EMERGENCY_SERVICES,HOSPITAL_RATING
ORG0001,220062,ADCARE HOSPITAL OF WORCESTER INC,WORCESTER,MA,Acute Care Hospitals,Proprietary,No,Not Available
ORG0002,220029,ANNA JAQUES HOSPITAL,NEWBURYPORT,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
ORG0003,224013,ARBOUR HOSPITAL,BOSTON,MA,Psychiatric,Proprietary,No,Not Available
ORG0004,224018,ARBOUR HUMAN RESOURCE INSTITUTE,BROOKLINE,MA,Psychiatric,Proprietary,No,Not Available
ORG0005,224021,ARBOUR-FULLER HOSPITAL,SOUTH ATTLEBORO,MA,Psychiatric,Proprietary,No,Not Available
ORG0006,221303,ATHOL MEMORIAL HOSPITAL,ATHOL,MA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,2
ORG0007,220016,BAYSTATE FRANKLIN MEDICAL CENTER,GREENFIELD,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
ORG0008,220077,BAYSTATE MEDICAL CENTER,SPRINGFIELD,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2
ORG0009,220065,BAYSTATE NOBLE HOSPITAL,WESTFIELD,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2
ORG0010,220030,BAYSTATE WING HOSPITAL,PALMER,MA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4
ORG0011,22001F,BEDFORD VA MEDICAL CENTER,BEDFORD,MA,Acute Care - Veterans Administration,Veterans Health Administration,No,Not Available
ORG0012,220046,BERKSHIRE MEDICAL CENTER,PITTSFIELD,MA,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4
ORG0013,220108,BETH ISRAEL DEACONESS HOSPITAL - MILTON,MILTON,MA,Acute Care Hospitals,Government - Federal,Yes,4
ORG0014,220083,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5
ORG0015,220060,BETH ISRAEL DEACONESS HOSPITAL PLYMOUTH,PLYMOUTH,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4
ORG0016,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
ORG0017,223302,BOSTON CHILDREN'S HOSPITAL,BOSTON,MA,Childrens,Voluntary non-profit - Private,Yes,Not Available
ORG0018,220031,BOSTON MEDICAL CENTER,BOSTON,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
ORG0019,220036,BOSTON MEDICAL CENTER-BRIGHTON,BRIGHTON,MA,Acute Care Hospitals,Proprietary,Yes,3
ORG0020,224022,BOURNEWOOD HOSPITAL,BROOKLINE,MA,Psychiatric,Proprietary,No,Not Available
ORG0021,220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,JAMAICA PLAIN,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5
ORG0022,220110,BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5
ORG0023,220073,BROWN UNIVERSITY HEALTH MORTON HOSPITAL,TAUNTON,MA,Acute Care Hospitals,Proprietary,Yes,1
ORG0024,220011,CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,MA,Acute Care Hospitals,Government - Local,Yes,3
ORG0025,224031,CAPE COD & ISLANDS COMMUNITY MENTAL HEALTH CENTER,POCASSET,MA,Psychiatric,Government - State,No,Not Available
ORG0026,220012,CAPE COD HOSPITAL,HYANNIS,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2
ORG0027,220017,CARNEY HOSPITAL,BOSTON,MA,Acute Care Hospitals,Proprietary,Yes,Not Available
ORG0028,220015,"COOLEY DICKINSON HOSPITAL INC,THE",NORTHAMPTON,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2
ORG0029,224028,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,FALL RIVER,MA,Psychiatric,Government - State,No,Not Available
ORG0030,224040,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,BOSTON,MA,Psychiatric,Government - State,No,Not Available
ORG0031,220084,EMERSON HOSPITAL -,W CONCORD,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5
ORG0032,221302,FAIRVIEW HOSPITAL,GREAT BARRINGTON,MA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5
ORG0033,220135,FALMOUTH HOSPITAL,FALMOUTH,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4
ORG0034,223300,FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,BRIGHTON,MA,Childrens,Voluntary non-profit - Private,No,Not Available
ORG0035,220111,GOOD SAMARITAN MEDICAL CENTER,BROCKTON,MA,Acute Care Hospitals,Proprietary,Yes,2
ORG0036,220095,HEYWOOD HOSPITAL -,GARDNER,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2
ORG0037,220080,HOLY FAMILY HOSPITAL,METHUEN,MA,Acute Care Hospitals,Proprietary,Yes,2
ORG0038,220024,HOLYOKE MEDICAL CENTER,HOLYOKE,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4
ORG0039,224045,HOSPITAL FOR BEHAVIORAL MEDICINE,WORCESTER,MA,Psychiatric,Proprietary,No,Not Available
ORG0040,220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",BURLINGTON,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4
ORG0041,220063,LOWELL GENERAL HOSPITAL,LOWELL,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2
ORG0042,221300,MARTHA'S VINEYARD HOSPITAL INC,OAK BLUFFS,MA,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4
ORG0043,220075,MASSACHUSETTS EYE AND EAR INFIRMARY -,BOSTON,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available
ORG0044,220071,MASSACHUSETTS GENERAL HOSPITAL,BOSTON,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5
ORG0045,224007,MCLEAN HOSPITAL CORPORATION,BELMONT,MA,Psychiatric,Voluntary non-profit - Private,No,Not Available
ORG0046,220070,MELROSEWAKEFIELD HEALTHCARE,MELROSE,MA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3
